MEAN_full,SD_full,q0_full,q0.01_full,q0.05_full,q0.1_full,q0.25_full,q0.5_full,q0.75_full,q0.9_full,q0.95_full,q0.99_full,q1_full,ar1_full,kur_full,skew_full,MEAN_abs,SD_abs,q0_abs,q0.05_abs,q0.25_abs,q0.75_abs,q0.95_abs,q1_abs,ar1_abs,kur_abs,skew_abs,MEAN_roll_sd_10,SD_roll_sd_10,q0_roll_sd_10,q0.05_roll_sd_10,q0.25_roll_sd_10,q0.75_roll_sd_10,q0.95_roll_sd_10,q1_roll_sd_10,ar1_roll_sd_10,kur_roll_sd_10,skew_roll_sd_10,MEAN_roll_sd_100,SD_roll_sd_100,q0_roll_sd_100,q0.05_roll_sd_100,q0.25_roll_sd_100,q0.75_roll_sd_100,q0.95_roll_sd_100,q1_roll_sd_100,ar1_roll_sd_100,kur_roll_sd_100,skew_roll_sd_100,MEAN_roll_sd_500,SD_roll_sd_500,q0_roll_sd_500,q0.05_roll_sd_500,q0.25_roll_sd_500,q0.75_roll_sd_500,q0.95_roll_sd_500,q1_roll_sd_500,ar1_roll_sd_500,kur_roll_sd_500,skew_roll_sd_500,MEAN_roll_sd_1000,SD_roll_sd_1000,q0_roll_sd_1000,q0.05_roll_sd_1000,q0.25_roll_sd_1000,q0.75_roll_sd_1000,q0.95_roll_sd_1000,q1_roll_sd_1000,ar1_roll_sd_1000,kur_roll_sd_1000,skew_roll_sd_1000,MEAN_roll_sd_1500,SD_roll_sd_1500,q0_roll_sd_1500,q0.05_roll_sd_1500,q0.25_roll_sd_1500,q0.75_roll_sd_1500,q0.95_roll_sd_1500,q1_roll_sd_1500,ar1_roll_sd_1500,kur_roll_sd_1500,skew_roll_sd_1500
4.49178,4.893689687,-75,-8,-2,0,2,4,7,9,11,18,115,0.76359749,28.83614237,0.327901077,5.224606667,4.102160898,0,1,3,7,11,115,0.713553207,44.07620647,3.759373834,3.46905362,2.49956386,0.421637021,1.649915823,2.311805451,3.735713527,6.999206304,63.41012888,0.969426863,61.56312305,5.871392984,4.022404748,2.79924183,2.015094554,2.514985391,2.833618524,4.026478021,8.362222652,50.48999801,0.999823523,60.02020208,6.118716511,4.138820998,2.609322691,2.457079257,2.679601562,2.918815336,4.176377408,9.068861256,33.20201572,0.999982868,37.92081716,5.04241,4.23766243,2.439578492,2.490743625,2.750190457,2.964358011,4.374604916,8.508256074,24.71724674,0.999992774,24.92389567,4.176805959,4.298418492,2.292317861,2.570801218,2.792224902,3.038638656,4.433796408,8.156856079,20.44871613,0.999995495,18.83072653,3.678799586
4.171153333,5.922839443,-140,-12,-2,-1,2,4,7,9,11,20,152,0.820887355,56.21625105,0.295701945,5.19834,5.045368597,0,1,2,7,12,152,0.792169818,84.25976993,6.163648162,3.63357605,3.496230767,0.483045892,1.636391694,2.282785822,3.689323937,7.90569415,111.7246616,0.977218442,100.1648609,7.696133092,4.269961365,4.121644623,2.036906944,2.475659284,2.780814502,3.915509178,9.954725795,58.37331184,0.99986331,51.29416933,6.172810172,4.437171844,3.931245592,2.453977998,2.66639369,2.861676849,4.169800772,10.27960683,39.79273209,0.999983911,28.50649036,4.844195765,4.59595085,3.753400456,2.540931982,2.706399009,2.922084458,4.376806534,10.93334611,29.68031093,0.999992448,17.40141265,3.922443378,4.726477642,3.599575293,2.588070595,2.758784542,2.987653417,4.551517963,12.94550594,24.63126811,0.999995122,11.7861304,3.322717157
4.61026,6.946990077,-193,-11,-2,0,2,5,7,9,11,20,248,0.861119488,162.1106382,0.428679715,5.597193333,6.179524903,0,1,3,7,12,248,0.847799591,223.0504513,10.60457827,3.629139512,4.247638794,0.421637021,1.636391694,2.263232693,3.604010112,7.450577905,161.3920004,0.980228322,189.9160967,10.85491567,4.301227315,5.477190764,1.974586007,2.475638883,2.743219372,3.729976846,8.870356945,106.2967349,0.999882185,115.3947797,9.251853188,4.497867206,5.308532515,2.300436484,2.629393737,2.820721351,3.97531209,9.557917743,70.58711865,0.999983594,63.49929308,7.106163802,4.684967103,5.154285172,2.502457451,2.676466789,2.903332627,4.260689202,10.08499932,53.06929226,0.999992176,41.34718038,5.857371478,4.838021617,5.023551215,2.596135065,2.71544852,2.943749876,4.432930323,13.70762674,43.59692144,0.99999483,30.02520744,5.072504888
4.531473333,4.114146603,-93,-5,-1,1,3,5,7,8,10,14,85,0.690513439,41.23982288,0.061888125,4.961486667,3.583863235,0,1,3,7,10,93,0.642296004,51.04113886,4.205114199,2.990101023,2.182665833,0.471404521,1.567021236,2.1499354,3.204163958,5.043147166,66.01691702,0.972028515,124.7251854,8.762643021,3.323101166,2.431108936,1.889471093,2.380476143,2.599048,3.05339685,6.106884673,45.8951495,0.999813908,89.97625946,7.998401407,3.420438921,2.286842723,2.344032632,2.561468767,2.672603528,3.036164124,7.11567718,30.27883776,0.999980401,50.67024935,6.159040509,3.508083295,2.15689758,2.448667183,2.605871364,2.701285054,3.12948521,6.9674214,22.80324126,0.999991277,32.65071701,5.013284112,3.575318645,2.051263746,2.489678404,2.633196248,2.71590445,3.245880987,7.228895394,18.86211535,0.999994427,24.01818767,4.336000393
4.12834,5.797163636,-147,-10,-2,0,2,4,6,9,10,19,177,0.815278397,79.53591582,0.073896873,5.0709,4.993617202,0,1,2,7,11,177,0.790401519,116.4728107,7.2792532,3.50231486,3.573556878,0.471404521,1.619327707,2.233582076,3.541813722,7.420691792,113.678885,0.978611912,156.5976504,9.73873274,4.090358584,4.122583859,1.979694906,2.440069547,2.708963796,3.657012083,9.545552669,76.74381099,0.999872792,80.49548353,7.497968833,4.254158139,3.946129861,2.396265464,2.599663922,2.77253926,3.853494887,9.936530243,46.39324376,0.999985445,41.00166867,5.628340417,4.391495207,3.802027919,2.517433906,2.637748418,2.816780121,4.088838172,10.14334888,34.00081846,0.999993971,25.17230293,4.552022997,4.500255745,3.683712213,2.561235804,2.654985869,2.857050546,4.340566311,10.26706412,28.82801882,0.999996287,18.07635241,3.942079187
4.148606667,24.78276882,-675,-52,-12,-5,0,4,8,13,20,58,671,0.952772126,159.644112,1.016340648,9.760846667,23.15430672,0,1,3,9,28,675,0.952990818,191.1478809,11.4612093,7.628014124,15.83464839,0.421637021,1.897366596,2.788866755,6.740425308,21.89177926,435.7051628,0.983940489,144.8744748,9.963505851,10.57869516,22.44020092,2.153198232,2.772356326,3.46892409,9.12881441,29.88682356,321.2831496,0.999933753,75.88796017,7.786071,11.10723222,22.21747772,2.623564404,2.925106579,3.652506757,10.01805264,31.77192873,267.8012186,0.999995343,63.22762527,7.225899371,11.60331876,22.0008307,2.681261674,3.005100769,3.79081116,10.87228502,31.63802452,226.8437344,0.999998098,52.35581511,6.703409945,12.02738752,21.81579311,2.763617305,3.148154049,4.12981135,11.74759323,33.24971907,198.5031434,0.999998823,44.09248969,6.2445686
4.113986667,4.707150032,-107,-7,-2,0,2,4,6,8,10,15,125,0.747904436,57.04129851,0.081859821,4.785213333,4.022914521,0,1,2,6,10,125,0.709335229,82.57830621,5.610485279,3.215484925,2.690628109,0.567646212,1.595131482,2.211083194,3.414023368,5.923587205,93.17963535,0.975181845,187.1127887,10.51122642,3.672292731,2.94869307,1.858939635,2.422016023,2.676855535,3.487003286,6.923616443,60.60588364,0.999823843,98.75931515,8.146126346,3.782167983,2.793194272,2.387323738,2.585821522,2.734254614,3.63248481,7.323506229,37.66593008,0.999982525,51.7938679,6.243321332,3.882630959,2.658240957,2.496876126,2.634529321,2.767780991,3.844403131,8.019884198,27.89167118,0.999992142,34.72910791,5.218619515,3.960390156,2.548095332,2.566406798,2.646888742,2.79993297,3.927087302,7.321948751,22.96298478,0.999994978,25.3037976,4.522692293
4.32838,5.964443288,-120,-13,-3,-1,2,4,7,9,12,21,120,0.820064266,35.50255335,0.161537939,5.4337,4.978382221,0,1,3,7,13,120,0.781348353,54.45229248,4.891297639,3.790110824,3.5548423,0.483045892,1.646545205,2.299758441,3.831158804,9.104943712,92.42660752,0.976374623,77.81247198,6.723423765,4.462713,3.973540184,1.984383475,2.478411841,2.770406381,4.14431581,11.26460444,60.07678168,0.999858992,41.31882771,5.176459353,4.663953208,3.713045401,2.431823087,2.640492454,2.827913398,4.697545089,12.38316719,34.30419729,0.99998303,17.381044,3.645977455,4.835078716,3.447608817,2.507601257,2.685971974,2.871909446,5.273052634,11.57971506,25.93510649,0.999992275,10.16238384,2.881995208,4.929694238,3.138393482,2.535232631,2.71118849,2.918819797,5.620359287,10.75697299,21.39199565,0.999995028,6.455859776,2.34990983
4.000733333,5.874469297,-114,-12,-3,-1,2,4,6,9,11,20,118,0.820007989,37.25841622,-0.007194729,5.12456,4.924842451,0,0,2,7,12,118,0.78721959,55.4208756,5.151265298,3.712040713,3.359511642,0.527046277,1.649915823,2.311805451,3.83550663,8.070866609,79.4990566,0.975223976,66.83192368,6.521916456,4.389517674,3.924198045,1.909571849,2.514925145,2.823047283,4.213302647,10.43348824,48.81319163,0.999856275,37.4997845,5.371518068,4.57193144,3.701361703,2.381410976,2.674042821,2.902285741,4.479015423,10.94284221,34.25554678,0.999983906,22.02106352,4.260973151,4.740611309,3.492956603,2.524561826,2.735759562,2.975874801,4.619625628,11.53378113,25.68310723,0.999992741,13.84807241,3.472963733,4.869624735,3.322415261,2.591307891,2.773465876,3.068673556,4.807254728,11.52635041,21.22379858,0.999995399,9.455078361,2.955717953
4.4588,8.926476373,-258,-17,-3,-1,2,4,7,10,12,26,281,0.894691032,133.89283,-0.123978641,6.06368,7.924301241,0,1,3,7,14,281,0.885976182,184.603588,10.15266444,4.27152619,5.710257254,0.632455532,1.699673171,2.368778401,4.040077007,10.51189802,196.1377067,0.981219171,164.8282169,9.935499835,5.236330792,7.256136597,2.061552813,2.559415179,2.883320196,4.594803828,12.86813856,114.5537605,0.999880004,77.54156758,7.686977785,5.51141593,7.031565127,2.505160206,2.711983353,2.973412579,4.946770773,13.34558929,81.33604256,0.99998494,45.82344671,6.109183988,5.777843903,6.823076502,2.603205078,2.772689454,3.053050953,5.379450668,15.96503158,61.83297913,0.999993157,30.70764336,5.101103427,5.999880462,6.643122041,2.653359839,2.829186176,3.138447938,6.044817568,15.55123125,51.12177353,0.999995421,22.3368107,4.430736125
